# cfgfile = ./single-default/TOS2/TOS2.1803.meiyo_m4-res.dat
,SET,LN,MT,TT,ResiTT,TakeOff,gamma,flag,ST,ant_e0,ant_n0,ant_u0,head0,pitch0,roll0,RT,ant_e1,ant_n1,ant_u1,head1,pitch1,roll1,dV0,gradV1e,gradV1n,gradV2e,gradV2n,dV,LogResidual
0,S01,L01,M01,2.738705,4.066680730575538e-06,29.554092021984843,-9.713639789828261e-05,False,20013.39694,33.55621,1895.76737,16.89617,215.64,0.54,0.6,20017.1972,34.59355,1891.79351,16.79073,215.64,-0.37,0.21,0.04716090234077845,0.04937415301075307,-0.09441155069157925,0.055651896468790846,-0.019886420930108395,-0.14459284269684164,1.4848918487297968e-06
1,S01,L01,M02,3.644509,-2.6665649617766402e-05,49.010107597665524,-5.254512931057339e-05,False,20014.48697,33.88232,1894.63185,16.89182,215.49,0.81,0.48,20019.193035,34.98993,1889.65374,16.798,215.39,-1.31,0.15,0.047117184601823764,0.04939213339468422,-0.0944214044274887,0.055601105947496385,-0.01988096131318126,-0.07821629977307681,-7.316664499323888e-06
2,S01,L01,M02,3.634979,0.00011302923417257814,48.874227126013295,-5.2287088257618596e-05,False,20023.396935,36.26114,1884.87757,16.86453,214.83,1.02,-0.55,20028.09347,37.311,1880.7279,17.05188,213.1,0.06,1.21,0.04686477727630673,0.04949590912693967,-0.09447829119666444,0.055307961979671506,-0.01984945745848315,-0.07783219154808076,3.109487955021972e-05
3,S01,L01,M03,4.405053,0.00011347254533271318,57.25187984431196,-7.179377503884743e-05,False,20024.48707,36.47645,1883.65841,16.7534,214.65,0.56,-0.24,20029.95368,38.00529,1878.81044,16.79417,212.06,-0.72,0.16,0.046822946652117406,0.04951309988537972,-0.09448771790986898,0.055259401603565406,-0.019844239806369554,-0.10686896205143342,2.5759632252486675e-05
4,S01,L01,M03,4.394823,4.002076438733751e-05,57.164357925161966,-7.137630556351454e-05,False,20033.39704,39.76426,1874.93775,16.83438,210.15,0.1,-0.02,20038.85342,41.75652,1869.77654,16.97762,206.53,0.29,0.79,0.046570345729845544,0.04961687163391748,-0.09454463819932696,0.05496626667005615,-0.019812745270401586,-0.10624753589724609,9.106342709896964e-06
5,S01,L01,M04,3.682424,1.0587087194986009e-05,49.79563492207336,-0.0001174505536389469,False,20034.48696,39.87825,1873.87916,17.11576,209.3,0.21,1.01,20039.23094,41.96511,1869.41385,16.8683,206.32,0.07,0.77,0.04654952653061044,0.04962542195995388,-0.09454932924209064,0.05494211360453566,-0.019810150314543497,-0.17483157492371318,2.875032097060526e-06
6,S01,L01,M04,3.676774,5.767765830448563e-05,49.7197326514883,-0.0001167330945263649,False,20043.39707,45.14181,1864.88305,16.67211,203.92,-0.94,0.84,20048.1354,48.17895,1859.94645,17.40398,203.53,1.2,0.61,0.0462966543292051,0.04972922204064433,-0.09460630115419363,0.054648896555484314,-0.019778644559560795,-0.17376359778176048,1.5687028439737016e-05
7,S01,L01,M01,2.71825,-5.4678374895251725e-05,28.76979770476251,-9.543852270401233e-05,False,20044.4871,45.70595,1863.68238,16.95199,203.13,-0.78,1.67,20048.266905,48.2815,1859.79113,17.35616,203.57,1.09,0.53,0.04627931043662308,0.04973633955363859,-0.09461020850987042,0.05462879078180821,-0.01977648406166963,-0.1420654625777943,-2.011528553122477e-05
8,S01,L01,M01,2.712395,-7.236838711037264e-05,28.55758139626235,-9.483771876635282e-05,False,20053.39722,53.00877,1854.51284,16.57661,203.82,-0.53,-0.06,20057.17117,55.46219,1850.80311,17.31952,205.1,0.8,1.4,0.04602622819427425,0.049840138551696625,-0.09466721825117375,0.05433557471417723,-0.019744966284142882,-0.14117113304602996,-2.6680622516400687e-05
9,S01,L01,M02,3.597589,-4.257433446769167e-05,48.35960385457955,-5.107386587879318e-05,False,20054.487145,53.81676,1853.325,16.77524,203.92,-0.46,0.24,20059.14629,57.30197,1848.61876,17.00325,206.34,0.55,0.36,0.04598266081386019,0.04985799763379015,-0.09467703130561664,0.05428512535717103,-0.019739541425119314,-0.07602624366064224,-1.1834129598375931e-05
