depth,speed
0.0,1524.423
10.0,1524.359
20.0,1523.84
30.0,1523.282
40.0,1522.83
50.0,1522.367
60.0,1521.584
70.0,1520.241
80.0,1519.189
90.0,1518.436
100.0,1517.816
110.0,1517.269
120.0,1516.277
130.0,1515.556
140.0,1514.941
150.0,1514.404
160.0,1514.118
170.0,1513.614
180.0,1512.712
190.0,1511.734
200.0,1511.278
250.0,1508.121
300.0,1503.178
350.0,1498.939
400.0,1493.978
450.0,1488.768
500.0,1485.066
550.0,1483.282
600.0,1480.447
700.0,1478.936
800.0,1478.862
900.0,1478.466
1200.0,1480.456
1846.3477,1488.045
